"Customer ID",Total_Spent,Spending_Category
CUST0204,29100,"High Spender"
CUST0095,22440,"High Spender"
CUST0131,21180,"High Spender"
CUST0139,18350,"High Spender"
CUST0281,17850,"High Spender"
CUST0144,17320,"High Spender"
CUST0200,16700,"High Spender"
CUST0197,16150,"High Spender"
CUST0064,14600,"Mid Spender"
CUST0293,14200,"Mid Spender"
CUST0160,13750,"Mid Spender"
CUST0129,13460,"Mid Spender"
CUST0031,12800,"Mid Spender"
CUST0203,12480,"Mid Spender"
CUST0176,12400,"Mid Spender"
CUST0138,12350,"Mid Spender"
CUST0156,12000,"Mid Spender"
CUST0106,11150,"Mid Spender"
CUST0178,11100,"Mid Spender"
CUST0133,11100,"Mid Spender"
CUST0282,10600,"Mid Spender"
CUST0269,10500,"Mid Spender"
CUST0023,10450,"Mid Spender"
CUST0006,10400,"Mid Spender"
CUST0299,10060,"Mid Spender"
CUST0212,10060,"Mid Spender"
CUST0010,10000,"Mid Spender"
CUST0112,9800,"Mid Spender"
CUST0288,9750,"Mid Spender"
CUST0063,9550,"Mid Spender"
CUST0173,9250,"Mid Spender"
CUST0276,9230,"Mid Spender"
CUST0070,9200,"Mid Spender"
CUST0185,9200,"Mid Spender"
CUST0232,9190,"Mid Spender"
CUST0272,9180,"Mid Spender"
CUST0218,9150,"Mid Spender"
CUST0274,9100,"Mid Spender"
CUST0295,8830,"Mid Spender"
CUST0125,8720,"Mid Spender"
CUST0137,8700,"Mid Spender"
CUST0289,8620,"Mid Spender"
CUST0058,8500,"Mid Spender"
CUST0198,8500,"Mid Spender"
CUST0201,8460,"Mid Spender"
CUST0088,8300,"Mid Spender"
CUST0256,8250,"Mid Spender"
CUST0091,7970,"Mid Spender"
CUST0123,7900,"Mid Spender"
CUST0113,7800,"Mid Spender"
CUST0015,7800,"Mid Spender"
CUST0046,7760,"Mid Spender"
CUST0253,7750,"Mid Spender"
CUST0032,7720,"Mid Spender"
CUST0069,7700,"Mid Spender"
CUST0187,7700,"Mid Spender"
CUST0206,7700,"Mid Spender"
CUST0034,7700,"Mid Spender"
CUST0234,7700,"Mid Spender"
CUST0236,7600,"Mid Spender"
CUST0231,7600,"Mid Spender"
CUST0261,7590,"Mid Spender"
CUST0223,7560,"Mid Spender"
CUST0053,7550,"Mid Spender"
CUST0193,7500,"Mid Spender"
CUST0096,7200,"Mid Spender"
CUST0296,7130,"Mid Spender"
CUST0109,6980,"Low Spender"
CUST0060,6900,"Low Spender"
