"customer Id",Purchase_Count,Customer_Type
CUST0268,5,Returning
CUST0046,5,Returning
CUST0169,1,New
CUST0002,3,Returning
CUST0173,4,Returning
CUST0147,1,New
CUST0262,2,Returning
CUST0159,6,Returning
CUST0023,5,Returning
CUST0201,8,Returning
CUST0283,4,Returning
CUST0199,6,Returning
CUST0039,4,Returning
CUST0276,7,Returning
CUST0143,1,New
CUST0139,7,Returning
CUST0210,3,Returning
CUST0293,5,Returning
CUST0049,2,Returning
CUST0196,7,Returning
CUST0050,2,Returning
CUST0007,3,Returning
CUST0242,3,Returning
CUST0042,3,Returning
CUST0264,6,Returning
CUST0053,5,Returning
CUST0154,4,Returning
CUST0190,1,New
CUST0038,5,Returning
CUST0288,5,Returning
CUST0124,6,Returning
CUST0298,4,Returning
CUST0211,4,Returning
CUST0060,5,Returning
CUST0284,5,Returning
CUST0282,4,Returning
CUST0205,2,Returning
CUST0222,2,Returning
CUST0299,7,Returning
CUST0064,7,Returning
CUST0073,3,Returning
CUST0081,5,Returning
CUST0247,4,Returning
CUST0130,5,Returning
CUST0178,4,Returning
CUST0131,8,Returning
CUST0070,3,Returning
CUST0122,6,Returning
CUST0168,5,Returning
CUST0176,5,Returning
CUST0125,4,Returning
CUST0165,2,Returning
CUST0057,2,Returning
CUST0207,2,Returning
CUST0167,2,Returning
CUST0006,6,Returning
CUST0041,2,Returning
CUST0112,4,Returning
CUST0244,1,New
CUST0218,5,Returning
CUST0083,3,Returning
CUST0065,5,Returning
CUST0096,2,Returning
CUST0045,4,Returning
CUST0296,6,Returning
CUST0261,2,Returning
CUST0077,4,Returning
CUST0227,4,Returning
CUST0245,3,Returning
CUST0133,7,Returning
CUST0179,3,Returning
CUST0022,5,Returning
CUST0269,4,Returning
CUST0181,2,Returning
CUST0170,2,Returning
CUST0182,5,Returning
CUST0219,4,Returning
CUST0037,2,Returning
CUST0091,6,Returning
CUST0286,2,Returning
CUST0019,4,Returning
CUST0236,3,Returning
CUST0251,3,Returning
CUST0099,2,Returning
CUST0228,6,Returning
CUST0024,3,Returning
CUST0113,4,Returning
CUST0192,3,Returning
CUST0153,3,Returning
CUST0150,4,Returning
CUST0203,5,Returning
CUST0163,1,New
CUST0223,2,Returning
CUST0266,3,Returning
CUST0289,3,Returning
CUST0008,4,Returning
CUST0015,2,Returning
CUST0189,4,Returning
CUST0137,5,Returning
CUST0033,1,New
CUST0297,2,Returning
CUST0267,1,New
CUST0028,7,Returning
CUST0078,4,Returning
CUST0003,3,Returning
CUST0212,4,Returning
CUST0146,2,Returning
CUST0082,3,Returning
CUST0036,4,Returning
CUST0155,4,Returning
CUST0138,4,Returning
CUST0197,5,Returning
CUST0066,6,Returning
CUST0026,2,Returning
CUST0281,8,Returning
CUST0239,4,Returning
CUST0069,4,Returning
CUST0258,3,Returning
CUST0177,3,Returning
CUST0140,3,Returning
CUST0089,2,Returning
CUST0044,9,Returning
CUST0174,7,Returning
CUST0141,2,Returning
CUST0202,4,Returning
CUST0259,3,Returning
CUST0027,3,Returning
CUST0093,2,Returning
CUST0216,5,Returning
CUST0062,3,Returning
CUST0056,1,New
CUST0114,3,Returning
CUST0184,3,Returning
CUST0075,2,Returning
CUST0142,7,Returning
CUST0076,4,Returning
CUST0105,6,Returning
CUST0004,5,Returning
CUST0127,3,Returning
CUST0072,2,Returning
CUST0156,4,Returning
CUST0052,9,Returning
CUST0226,3,Returning
CUST0270,4,Returning
CUST0183,3,Returning
CUST0080,3,Returning
CUST0208,5,Returning
CUST0186,5,Returning
CUST0109,5,Returning
CUST0095,9,Returning
CUST0204,9,Returning
CUST0134,3,Returning
CUST0116,5,Returning
CUST0100,1,New
CUST0094,2,Returning
CUST0194,2,Returning
CUST0273,4,Returning
CUST0188,3,Returning
CUST0092,2,Returning
CUST0254,1,New
CUST0253,6,Returning
CUST0180,3,Returning
CUST0263,4,Returning
CUST0195,3,Returning
CUST0272,6,Returning
CUST0256,4,Returning
CUST0279,4,Returning
CUST0250,3,Returning
CUST0012,5,Returning
CUST0128,5,Returning
CUST0115,3,Returning
CUST0158,3,Returning
CUST0088,4,Returning
CUST0055,5,Returning
CUST0071,6,Returning
CUST0106,5,Returning
CUST0280,3,Returning
CUST0074,1,New
CUST0300,2,Returning
CUST0016,5,Returning
CUST0152,6,Returning
CUST0278,1,New
CUST0229,4,Returning
CUST0032,4,Returning
CUST0238,5,Returning
CUST0051,2,Returning
CUST0144,5,Returning
CUST0129,5,Returning
CUST0148,5,Returning
CUST0291,4,Returning
CUST0220,4,Returning
CUST0161,1,New
CUST0102,1,New
CUST0162,3,Returning
CUST0121,2,Returning
CUST0047,3,Returning
CUST0085,3,Returning
CUST0010,6,Returning
CUST0031,7,Returning
CUST0063,4,Returning
CUST0097,2,Returning
CUST0067,1,New
CUST0221,3,Returning
CUST0126,5,Returning
CUST0043,3,Returning
CUST0237,1,New
CUST0058,6,Returning
CUST0054,3,Returning
CUST0187,2,Returning
CUST0018,3,Returning
CUST0059,4,Returning
CUST0103,4,Returning
CUST0224,2,Returning
CUST0230,1,New
CUST0285,3,Returning
CUST0198,4,Returning
CUST0241,3,Returning
CUST0123,2,Returning
CUST0200,4,Returning
CUST0108,2,Returning
CUST0118,4,Returning
CUST0098,1,New
CUST0011,4,Returning
CUST0290,3,Returning
CUST0164,1,New
CUST0193,4,Returning
CUST0005,1,New
CUST0274,4,Returning
CUST0013,2,Returning
CUST0025,3,Returning
CUST0160,6,Returning
CUST0240,5,Returning
CUST0136,3,Returning
CUST0243,2,Returning
CUST0252,3,Returning
CUST0294,1,New
CUST0215,2,Returning
CUST0295,4,Returning
CUST0149,5,Returning
CUST0068,4,Returning
CUST0246,1,New
CUST0248,2,Returning
CUST0020,2,Returning
CUST0235,2,Returning
CUST0206,2,Returning
CUST0157,1,New
CUST0017,1,New
CUST0225,4,Returning
CUST0145,3,Returning
CUST0249,1,New
CUST0172,2,Returning
CUST0048,3,Returning
CUST0260,2,Returning
CUST0185,3,Returning
CUST0009,1,New
CUST0001,2,Returning
CUST0086,2,Returning
